tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,rank1,rank2,pts1,pts2,odd1,odd2,score
China Open,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Gasquet R.,UR,Thiem D.,15.92,Thiem D.,42,5,1175,4415,2.75,1.4,4-6 1-6
China Open,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Tsitsipas S.,15.7,Lajovic D.,15.35,Tsitsipas S.,7,29,3420,1416,1.28,3.5,4-6 6-3 6-4
China Open,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Verdasco F.,UR,Schwartzman D.,15.69,Schwartzman D.,38,16,1195,1995,2.75,1.4,4-6 6-3 3-6
China Open,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Murray A.,15.19,Norrie C.,15.28,Murray A.,503,69,57,855,1.44,2.62,7-6 6-7 6-1
China Open,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Chardy J.,15.42,Khachanov K.,15.43,Khachanov K.,72,9,815,2810,3.0,1.36,6-7 6-7
China Open,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Fognini F.,15.47,Rublev A.,15.51,Fognini F.,12,35,2370,1261,2.62,1.44,6-3 6-4
China Open,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Zhang Zh.,UR,Thiem D.,15.92,Thiem D.,213,5,233,4415,5.5,1.14,3-6 3-6
China Open,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Isner J.,UR,Evans D.,15.48,Isner J.,19,48,1805,1053,1.57,2.25,7-6 7-5
China Open,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Basilashvili N.,15.26,Tsitsipas S.,15.7,Tsitsipas S.,17,7,1895,3420,2.37,1.53,6-4 3-6 2-6
China Open,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Querrey S.,15.53,Schwartzman D.,15.69,Querrey S.,55,16,1010,1995,2.37,1.53,7-6 6-7 6-3
China Open,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,UR,Zverev A.,15.49,Zverev A.,20,6,1719,4095,3.0,1.36,3-6 1-6
China Open,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Khachanov K.,15.43,Fognini F.,15.47,Khachanov K.,9,12,2810,2370,1.61,2.3,3-6 6-3 6-1
China Open,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Murray A.,15.19,Thiem D.,15.92,Thiem D.,503,5,57,4415,2.75,1.44,2-6 6-7
China Open,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Tsitsipas S.,15.7,Isner J.,UR,Tsitsipas S.,7,19,3420,1805,1.8,2.0,7-6 6-3
China Open,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Querrey S.,15.53,Zverev A.,15.49,Zverev A.,55,6,1010,4095,3.4,1.33,6-7 2-6
China Open,10/5/2019,ATP500,Outdoor,Hard,Semifinals,3,Thiem D.,15.92,Khachanov K.,15.43,Thiem D.,5,9,4415,2810,1.57,2.37,2-6 7-6 7-5
China Open,10/5/2019,ATP500,Outdoor,Hard,Semifinals,3,Zverev A.,15.49,Tsitsipas S.,15.7,Tsitsipas S.,6,7,4095,3420,1.66,2.2,6-7 4-6
China Open,10/6/2019,ATP500,Outdoor,Hard,The Final,3,Thiem D.,15.92,Tsitsipas S.,15.7,Thiem D.,5,7,4415,3420,1.9,1.9,3-6 6-4 6-1
Rakuten Japan Open Tennis Championships,9/30/2019,ATP500,Outdoor,Hard,1st Round,3,Struff J.L.,UR,Soeda G.,UR,Soeda G.,37,133,1235,412,1.25,3.75,6-4 6-7 3-6
Rakuten Japan Open Tennis Championships,9/30/2019,ATP500,Outdoor,Hard,1st Round,3,Pouille L.,15.46,Hurkacz H.,15.61,Pouille L.,24,36,1520,1243,1.83,1.83,6-4 6-3
Rakuten Japan Open Tennis Championships,9/30/2019,ATP500,Outdoor,Hard,1st Round,3,Sugita Y.,14.94,Cilic M.,15.48,Cilic M.,126,30,429,1410,4.33,1.2,4-6 4-6
Rakuten Japan Open Tennis Championships,9/30/2019,ATP500,Outdoor,Hard,1st Round,3,Nishioka Y.,15.29,Sousa J.,15.31,Nishioka Y.,77,62,719,916,1.8,1.9,7-5 6-3
Rakuten Japan Open Tennis Championships,9/30/2019,ATP500,Outdoor,Hard,1st Round,3,Sonego L.,15.33,Chung H.,13.11,Chung H.,54,143,1013,383,2.5,1.5,6-3 3-6 4-6
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Uchiyama Y.,14.95,Paire B.,15.44,Uchiyama Y.,136,23,407,1553,2.0,1.72,6-2 6-2
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Fritz T.,15.56,Opelka R.,15.42,Opelka R.,31,53,1385,1014,1.61,2.2,3-6 4-6
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Daniel T.,14.88,Coric B.,15.49,Daniel T.,127,14,424,2130,4.5,1.18,6-4 4-6 7-6
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Andujar P.,UR,Simon G.,7.35,Simon G.,52,50,1025,1035,1.83,1.83,4-6 0-6
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Albot R.,15.36,Krajinovic F.,15.39,Albot R.,45,49,1087,1043,2.37,1.53,6-3 7-5
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Popyrin A.,15.28,Djokovic N.,14.24,Djokovic N.,94,1,596,9865,6.5,1.11,4-6 2-6
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Thompson J.,15.41,Londero J.I.,UR,Thompson J.,56,59,1008,997,1.4,2.75,6-3 3-6 6-3
Rakuten Japan Open Tennis Championships,10/1/2019,ATP500,Outdoor,Hard,1st Round,3,Kecmanovic M.,15.36,Shapovalov D.,15.55,Shapovalov D.,51,32,1033,1355,2.75,1.4,4-6 4-6
Rakuten Japan Open Tennis Championships,10/2/2019,ATP500,Outdoor,Hard,1st Round,3,Goffin D.,15.76,Carreno Busta P.,15.44,Goffin D.,15,39,2055,1192,1.61,2.2,1-6 7-6 6-0
Rakuten Japan Open Tennis Championships,10/2/2019,ATP500,Outdoor,Hard,1st Round,3,Mannarino A.,15.32,Millman J.,15.39,Millman J.,43,80,1101,691,2.0,1.72,6-4 3-6 4-6
Rakuten Japan Open Tennis Championships,10/2/2019,ATP500,Outdoor,Hard,1st Round,3,Harris L.,14.96,De Minaur A.,15.73,Harris L.,99,25,574,1520,4.5,1.18,6-3 6-7 7-6
Rakuten Japan Open Tennis Championships,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Albot R.,15.36,Uchiyama Y.,14.95,Uchiyama Y.,45,136,1087,407,1.61,2.2,7-6 3-6 4-6
Rakuten Japan Open Tennis Championships,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Djokovic N.,14.24,Soeda G.,UR,Djokovic N.,1,133,9865,412,1.04,13.0,6-3 7-5
Rakuten Japan Open Tennis Championships,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Simon G.,7.35,Opelka R.,15.42,Opelka R.,50,53,1035,1014,2.1,1.66,6-7 6-7
Rakuten Japan Open Tennis Championships,10/2/2019,ATP500,Outdoor,Hard,2nd Round,3,Pouille L.,15.46,Nishioka Y.,15.29,Pouille L.,24,77,1520,719,1.8,1.9,6-1 6-2
Rakuten Japan Open Tennis Championships,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Thompson J.,15.41,Daniel T.,14.88,Daniel T.,56,127,1008,424,1.57,2.25,4-6 6-7
Rakuten Japan Open Tennis Championships,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Millman J.,15.39,Harris L.,14.96,Millman J.,80,99,691,574,1.5,2.5,6-3 6-2
Rakuten Japan Open Tennis Championships,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Shapovalov D.,15.55,Goffin D.,15.76,Goffin D.,32,15,1355,2055,2.0,1.72,6-7 6-7
Rakuten Japan Open Tennis Championships,10/3/2019,ATP500,Outdoor,Hard,2nd Round,3,Chung H.,13.11,Cilic M.,15.48,Chung H.,143,30,383,1410,2.75,1.4,6-4 3-6 6-1
Rakuten Japan Open Tennis Championships,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Uchiyama Y.,14.95,Opelka R.,15.42,Opelka R.,136,53,407,1014,2.5,1.53,3-6 3-6
Rakuten Japan Open Tennis Championships,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Millman J.,15.39,Daniel T.,14.88,Millman J.,80,127,691,424,1.4,3.0,6-4 6-0
Rakuten Japan Open Tennis Championships,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Pouille L.,15.46,Djokovic N.,14.24,Djokovic N.,24,1,1520,9865,5.5,1.14,1-6 2-6
Rakuten Japan Open Tennis Championships,10/4/2019,ATP500,Outdoor,Hard,Quarterfinals,3,Goffin D.,15.76,Chung H.,13.11,Goffin D.,15,143,2055,383,1.44,2.75,6-2 6-2
Rakuten Japan Open Tennis Championships,10/5/2019,ATP500,Outdoor,Hard,Semifinals,3,Opelka R.,15.42,Millman J.,15.39,Millman J.,53,80,1014,691,1.8,2.0,3-6 6-7
Rakuten Japan Open Tennis Championships,10/5/2019,ATP500,Outdoor,Hard,Semifinals,3,Djokovic N.,14.24,Goffin D.,15.76,Djokovic N.,1,15,9865,2055,1.14,5.5,6-3 6-4
Rakuten Japan Open Tennis Championships,10/6/2019,ATP500,Outdoor,Hard,The Final,3,Millman J.,15.39,Djokovic N.,14.24,Djokovic N.,80,1,691,9865,11.0,1.05,3-6 2-6
Shanghai Masters,10/6/2019,Masters 1000,Outdoor,Hard,1st Round,3,Basilashvili N.,15.26,Albot R.,15.36,Basilashvili N.,26,47,1440,1092,1.57,2.25,4-6 6-1 6-3
Shanghai Masters,10/6/2019,Masters 1000,Outdoor,Hard,1st Round,3,Krajinovic F.,15.39,Sousa J.,15.31,Sousa J.,60,63,963,916,1.83,1.83,6-2 4-6 6-7
Shanghai Masters,10/6/2019,Masters 1000,Outdoor,Hard,1st Round,3,Fritz T.,15.56,Verdasco F.,UR,Fritz T.,29,41,1385,1170,1.72,2.0,7-6 6-7 6-4
Shanghai Masters,10/6/2019,Masters 1000,Outdoor,Hard,1st Round,3,Zhang Zh.,UR,Hurkacz H.,15.61,Hurkacz H.,179,34,278,1243,3.5,1.28,6-7 4-6
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Norrie C.,15.29,Simon G.,7.35,Norrie C.,64,49,910,1035,1.8,1.9,7-5 6-2
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,15.48,Ramos-Vinolas A.,UR,Ramos-Vinolas A.,25,46,1455,1095,1.36,3.0,4-6 4-6
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,15.54,Tiafoe F.,15.27,Shapovalov D.,36,51,1220,1015,1.44,2.62,6-4 6-2
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Querrey S.,15.54,Fognini F.,15.51,Fognini F.,45,12,1100,2280,1.8,1.9,4-6 2-6
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Pospisil V.,15.71,Schwartzman D.,15.69,Pospisil V.,248,16,184,1995,3.0,1.36,7-6 6-2
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Cecchinato M.,15.07,Paire B.,15.41,Paire B.,69,23,845,1553,2.25,1.57,2-6 5-7
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Garin C.,15.38,Cuevas P.,UR,Garin C.,32,48,1262,1078,2.0,1.72,6-1 6-4
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Edmund K.,15.39,Chardy J.,15.43,Chardy J.,42,71,1165,835,1.8,1.9,4-6 6-7
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Monfils G.,UR,Sonego L.,15.33,Monfils G.,11,55,2375,1000,1.3,3.4,7-5 6-7 6-3
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Londero J.I.,UR,Murray A.,15.3,Murray A.,56,289,997,147,3.4,1.3,6-2 2-6 3-6
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Kukushkin M.,15.3,Kecmanovic M.,15.36,Kukushkin M.,57,50,996,1033,2.0,1.72,7-6 6-4
Shanghai Masters,10/7/2019,Masters 1000,Outdoor,Hard,1st Round,3,Zhang Ze.,UR,Carreno Busta P.,15.54,Carreno Busta P.,179,37,278,1192,8.0,1.08,3-6 6-2 4-6
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,1st Round,3,Pouille L.,15.47,Li Z.,UR,Pouille L.,22,231,1600,205,1.11,6.5,6-7 6-4 6-4
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,1st Round,3,Lajovic D.,15.34,Opelka R.,15.43,Opelka R.,31,40,1306,1178,2.62,1.44,3-6 4-6
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,1st Round,3,Rublev A.,15.55,Coric B.,15.49,Rublev A.,33,15,1261,2130,1.66,2.1,6-4 7-6
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,1st Round,3,De Minaur A.,15.73,Isner J.,UR,Isner J.,24,17,1520,1895,1.72,2.0,6-7 4-6
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,1st Round,3,Millman J.,15.39,Pella G.,15.49,Millman J.,58,21,991,1655,1.72,2.0,6-3 7-5
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,UR,Berrettini M.,15.68,Berrettini M.,38,13,1190,2221,2.5,1.5,2-6 1-6
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,1st Round,3,Goffin D.,15.76,Gasquet R.,UR,Goffin D.,14,52,2190,1015,1.3,3.4,6-2 6-3
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Paire B.,15.41,Basilashvili N.,15.26,Basilashvili N.,23,26,1553,1440,2.1,1.66,4-6 6-1 1-6
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Hurkacz H.,15.59,Monfils G.,UR,Hurkacz H.,34,11,1243,2375,2.75,1.4,6-2 7-6
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Ramos-Vinolas A.,UR,Federer R.,UR,Federer R.,46,3,1095,7130,7.0,1.1,2-6 6-7
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Pospisil V.,15.71,Sousa J.,15.32,Pospisil V.,248,63,184,916,1.72,2.0,6-3 7-5
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Murray A.,15.3,Fognini F.,15.51,Fognini F.,289,12,147,2280,2.1,1.66,6-7 6-2 6-7
Shanghai Masters,10/8/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Medvedev D.,15.94,Norrie C.,15.29,Medvedev D.,4,64,4965,910,1.12,6.0,6-3 6-1
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Auger-Aliassime F.,UR,Tsitsipas S.,15.7,Tsitsipas S.,19,7,1719,3630,2.75,1.4,6-7 6-7
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Berrettini M.,15.68,Garin C.,15.38,Berrettini M.,13,32,2221,1262,1.22,4.0,6-3 6-3
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Pouille L.,15.47,Isner J.,UR,Isner J.,22,17,1600,1895,2.5,1.5,5-7 3-6
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Bautista Agut R.,15.63,Opelka R.,15.43,Bautista Agut R.,10,40,2575,1178,1.61,2.2,6-4 7-5
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Fritz T.,15.55,Khachanov K.,15.44,Khachanov K.,29,9,1385,2945,2.75,1.4,2-6 4-6
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Zverev A.,15.5,Chardy J.,15.43,Zverev A.,6,71,4185,835,1.28,3.5,7-6 7-6
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Millman J.,15.39,Rublev A.,15.55,Rublev A.,58,33,991,1261,2.62,1.44,2-6 0-6
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Djokovic N.,14.24,Shapovalov D.,15.54,Djokovic N.,1,36,10365,1220,1.1,7.0,6-3 6-3
Shanghai Masters,10/9/2019,Masters 1000,Outdoor,Hard,2nd Round,3,Carreno Busta P.,15.54,Thiem D.,15.91,Thiem D.,37,5,1192,4915,2.75,1.4,6-7 3-6
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Fognini F.,15.51,Khachanov K.,15.44,Fognini F.,12,9,2280,2945,2.75,1.44,6-3 7-5
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Pospisil V.,15.71,Medvedev D.,15.94,Medvedev D.,248,4,184,4965,8.0,1.08,6-7 5-7
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Berrettini M.,15.68,Bautista Agut R.,15.63,Berrettini M.,13,10,2221,2575,1.72,2.1,7-6 6-4
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Isner J.,UR,Djokovic N.,14.24,Djokovic N.,17,1,1895,10365,6.5,1.11,5-7 3-6
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Tsitsipas S.,15.7,Hurkacz H.,15.59,Tsitsipas S.,7,34,3630,1243,1.4,3.0,7-5 3-6 7-6
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Goffin D.,15.76,Federer R.,UR,Federer R.,14,3,2190,7130,4.33,1.22,6-7 4-6
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Thiem D.,15.91,Basilashvili N.,15.26,Thiem D.,5,26,4915,1440,1.25,4.0,6-3 6-4
Shanghai Masters,10/10/2019,Masters 1000,Outdoor,Hard,3rd Round,3,Rublev A.,15.55,Zverev A.,15.5,Zverev A.,33,6,1261,4185,2.37,1.57,0-6 6-7
Shanghai Masters,10/11/2019,Masters 1000,Outdoor,Hard,Quarterfinals,3,Medvedev D.,15.94,Fognini F.,15.51,Medvedev D.,4,12,4965,2280,1.22,4.33,6-3 7-6
Shanghai Masters,10/11/2019,Masters 1000,Outdoor,Hard,Quarterfinals,3,Djokovic N.,14.24,Tsitsipas S.,15.7,Tsitsipas S.,1,7,10365,3630,1.14,5.5,6-3 5-7 3-6
Shanghai Masters,10/11/2019,Masters 1000,Outdoor,Hard,Quarterfinals,3,Zverev A.,15.5,Federer R.,UR,Zverev A.,6,3,4185,7130,2.75,1.44,6-3 6-7 6-3
Shanghai Masters,10/11/2019,Masters 1000,Outdoor,Hard,Quarterfinals,3,Thiem D.,15.91,Berrettini M.,15.68,Berrettini M.,5,13,4915,2221,1.57,2.37,6-7 4-6
Shanghai Masters,10/12/2019,Masters 1000,Outdoor,Hard,Semifinals,3,Medvedev D.,15.94,Tsitsipas S.,15.7,Medvedev D.,4,7,4965,3630,1.44,2.75,7-6 7-5
Shanghai Masters,10/12/2019,Masters 1000,Outdoor,Hard,Semifinals,3,Berrettini M.,15.68,Zverev A.,15.5,Zverev A.,13,6,2221,4185,2.37,1.57,3-6 4-6
Shanghai Masters,10/13/2019,Masters 1000,Outdoor,Hard,The Final,3,Medvedev D.,15.94,Zverev A.,15.5,Medvedev D.,4,6,4965,4185,1.53,2.5,6-4 6-1
European Open,10/14/2019,ATP250,Indoor,Hard,1st Round,3,Gojowczyk P.,14.92,Pella G.,15.48,Pella G.,111,20,500,1620,2.5,1.5,7-5 4-6 6-7
European Open,10/14/2019,ATP250,Indoor,Hard,1st Round,3,Tsonga J.W.,UR,Sonego L.,15.33,Tsonga J.W.,36,56,1230,990,1.33,3.25,6-3 6-4
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Barrere G.,15.09,Struff J.L.,UR,Struff J.L.,84,41,638,1155,2.25,1.57,2-6 1-6
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Lopez F.,UR,Norrie C.,15.31,Lopez F.,62,61,958,960,2.25,1.57,7-6 6-4
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Delbonis F.,15.23,Copil M.,14.8,Copil M.,77,92,699,607,3.25,1.33,4-6 6-7
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Kwon S.W.,UR,Gasquet R.,UR,Kwon S.W.,88,57,617,980,2.37,1.53,1-6 6-3 6-4
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Majchrzak K.,15.18,Sinner J.,15.1,Sinner J.,91,119,610,466,1.83,1.83,4-6 2-6
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Simon G.,7.35,Darcis S.,UR,Simon G.,47,179,1035,281,1.25,3.75,6-1 6-2
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Coppejans K.,14.86,Murray A.,15.41,Murray A.,158,243,331,192,8.0,1.08,4-6 6-7
European Open,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Humbert U.,15.24,Kovalik J.,15.06,Humbert U.,70,176,831,285,1.25,3.75,6-4 7-5
European Open,10/16/2019,ATP250,Indoor,Hard,1st Round,3,Maden Y.,15.05,Tiafoe F.,15.27,Tiafoe F.,118,53,468,1015,2.1,1.66,6-7 3-6
European Open,10/16/2019,ATP250,Indoor,Hard,1st Round,3,Cuevas P.,UR,Dellien H.,15.2,Cuevas P.,45,79,1088,693,1.22,4.0,6-4 6-3
European Open,10/16/2019,ATP250,Indoor,Hard,2nd Round,3,Kwon S.W.,UR,Pella G.,15.48,Pella G.,88,20,617,1620,1.83,1.83,5-7 5-7
European Open,10/16/2019,ATP250,Indoor,Hard,2nd Round,3,Simon G.,7.35,Tsonga J.W.,UR,Simon G.,47,36,1035,1230,3.25,1.33,6-4 7-5
European Open,10/16/2019,ATP250,Indoor,Hard,2nd Round,3,Lopez F.,UR,Wawrinka S.,UR,Wawrinka S.,62,18,958,1670,2.75,1.4,7-6 4-6 6-7
European Open,10/17/2019,ATP250,Indoor,Hard,2nd Round,3,Tiafoe F.,15.27,Struff J.L.,UR,Tiafoe F.,53,41,1015,1155,2.37,1.53,6-3 6-4
European Open,10/17/2019,ATP250,Indoor,Hard,2nd Round,3,Schwartzman D.,15.69,Copil M.,14.8,Copil M.,15,92,1995,607,1.36,3.0,4-6 7-5 6-7
European Open,10/17/2019,ATP250,Indoor,Hard,2nd Round,3,Sinner J.,15.1,Monfils G.,UR,Sinner J.,119,13,466,2410,3.4,1.3,6-3 6-2
European Open,10/17/2019,ATP250,Indoor,Hard,2nd Round,3,Cuevas P.,UR,Murray A.,15.41,Murray A.,45,243,1088,192,3.5,1.28,4-6 3-6
European Open,10/17/2019,ATP250,Indoor,Hard,2nd Round,3,Humbert U.,15.24,Goffin D.,15.76,Humbert U.,70,14,831,2280,3.75,1.25,6-3 6-1
European Open,10/18/2019,ATP250,Indoor,Hard,Quarterfinals,3,Tiafoe F.,15.27,Sinner J.,15.1,Sinner J.,53,119,1015,466,1.8,2.0,4-6 6-3 3-6
European Open,10/18/2019,ATP250,Indoor,Hard,Quarterfinals,3,Wawrinka S.,UR,Simon G.,7.35,Wawrinka S.,18,47,1670,1035,1.5,2.62,6-3 6-7 6-2
European Open,10/18/2019,ATP250,Indoor,Hard,Quarterfinals,3,Copil M.,14.8,Murray A.,15.41,Murray A.,92,243,607,192,4.0,1.25,3-6 7-6 4-6
European Open,10/18/2019,ATP250,Indoor,Hard,Quarterfinals,3,Humbert U.,15.24,Pella G.,15.48,Humbert U.,70,20,831,1620,1.57,2.37,5-7 6-4 6-4
European Open,10/19/2019,ATP250,Indoor,Hard,Semifinals,3,Sinner J.,15.1,Wawrinka S.,UR,Wawrinka S.,119,18,466,1670,2.75,1.44,3-6 2-6
European Open,10/19/2019,ATP250,Indoor,Hard,Semifinals,3,Murray A.,15.41,Humbert U.,15.24,Murray A.,243,70,192,831,1.44,2.75,3-6 7-5 6-2
European Open,10/20/2019,ATP250,Indoor,Hard,The Final,3,Wawrinka S.,UR,Murray A.,15.41,Murray A.,18,243,1670,192,1.53,2.5,6-3 4-6 4-6
Kremlin Cup,10/14/2019,ATP250,Indoor,Hard,1st Round,3,Seppi A.,UR,Garin C.,15.38,Seppi A.,72,38,795,1197,1.9,1.8,3-6 7-6 7-6
Kremlin Cup,10/14/2019,ATP250,Indoor,Hard,1st Round,3,Londero J.I.,UR,Rosol L.,UR,Rosol L.,51,152,1017,350,1.66,2.1,7-6 6-7 3-6
Kremlin Cup,10/14/2019,ATP250,Indoor,Hard,1st Round,3,Mannarino A.,15.41,Dzumhur D.,15.06,Mannarino A.,44,93,1111,604,1.72,2.0,7-6 6-0
Kremlin Cup,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Berankis R.,15.12,Carballes Baena R.,15.17,Carballes Baena R.,67,80,860,684,1.33,3.25,2-6 6-4 3-6
Kremlin Cup,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Kecmanovic M.,15.36,Dubrivnyy A.,14.1,Kecmanovic M.,49,424,1023,80,1.16,5.0,6-1 7-5
Kremlin Cup,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Donskoy E.,14.96,Kukushkin M.,15.3,Kukushkin M.,113,58,490,971,2.5,1.5,4-6 3-6
Kremlin Cup,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Kohlschreiber P.,UR,Herbert P.H.,UR,Kohlschreiber P.,76,68,715,845,1.57,2.25,6-3 7-6
Kremlin Cup,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Jarry N.,15.29,Chardy J.,15.44,Chardy J.,78,66,695,860,3.0,1.36,4-6 2-6
Kremlin Cup,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Karlovic I.,UR,Bedene A.,15.43,Karlovic I.,87,71,621,815,3.0,1.36,6-4 6-7 7-6
Kremlin Cup,10/15/2019,ATP250,Indoor,Hard,1st Round,3,Bublik A.,15.17,Rublev A.,15.6,Rublev A.,48,31,1032,1341,3.25,1.33,1-6 6-3 4-6
Kremlin Cup,10/16/2019,ATP250,Indoor,Hard,1st Round,3,Gerasimov E.,15.12,Fabbiano T.,14.92,Gerasimov E.,98,89,570,615,1.28,3.5,6-3 6-4
Kremlin Cup,10/16/2019,ATP250,Indoor,Hard,1st Round,3,Kachmazov A.,UR,Avidzba A.,14.08,Avidzba A.,1491,498,2,59,3.25,1.33,1-6 6-4 1-6
Kremlin Cup,10/16/2019,ATP250,Indoor,Hard,2nd Round,3,Seppi A.,UR,Carballes Baena R.,15.17,Seppi A.,72,80,795,684,1.36,3.0,5-7 6-1 6-3
Kremlin Cup,10/16/2019,ATP250,Indoor,Hard,2nd Round,3,Kukushkin M.,15.3,Mannarino A.,15.41,Mannarino A.,58,44,971,1111,2.2,1.61,6-7 2-6
Kremlin Cup,10/16/2019,ATP250,Indoor,Hard,2nd Round,3,Lajovic D.,15.31,Rosol L.,UR,Lajovic D.,32,152,1316,350,1.61,2.2,6-4 6-7 6-3
