tournament,date,series,court,surface,round,best_of,p1,p1_utr,p2,p2_utr,winner,rank1,rank2,pts1,pts2,odd1,odd2,p1_games,p2_games,score,p_win
Sony Ericsson Open,3/22/2017,Masters 1000,Outdoor,Hard,1st Round,3,Pavlasek A.,14.23,Fritz T.,15.43,Fritz T.,96,126,596,471,4.5,1.18,5,12,2-6 3-6,1
Sony Ericsson Open,3/23/2017,Masters 1000,Outdoor,Hard,1st Round,3,Pella G.,15.48,Smyczek T.,15.22,Pella G.,158,166,375,356,2.25,1.57,16,16,3-6 6-4 7-6,0
Sony Ericsson Open,3/23/2017,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,15.67,Granollers M.,14.62,Coric B.,62,41,780,973,1.44,2.62,17,15,7-6 4-6 6-3,0
Sony Ericsson Open,3/23/2017,Masters 1000,Outdoor,Hard,1st Round,3,Chung H.,14.61,Dzumhur D.,15.37,Dzumhur D.,92,66,604,769,2.25,1.57,13,16,6-3 1-6 6-7,1
Sony Ericsson Open,3/23/2017,Masters 1000,Outdoor,Hard,1st Round,3,Khachanov K.,15.52,Schwartzman D.,15.8,Schwartzman D.,52,42,875,955,1.66,2.1,16,16,4-6 6-3 6-7,1
Sony Ericsson Open,3/23/2017,Masters 1000,Outdoor,Hard,1st Round,3,Mayer F.,15.39,Rublev A.,15.34,Rublev A.,46,130,913,460,2.62,1.44,2,12,1-6 1-6,1
Sony Ericsson Open,3/23/2017,Masters 1000,Outdoor,Hard,1st Round,3,Lacko L.,15.52,King D.,14.43,King D.,114,121,513,488,1.72,2.0,10,13,6-7 4-6,1
Sony Ericsson Open,3/23/2017,Masters 1000,Outdoor,Hard,1st Round,3,Haase R.,15.06,Ymer M.,15.46,Haase R.,48,416,908,102,1.25,3.75,14,11,7-5 7-6,0
Sony Ericsson Open,3/24/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Chardy J.,15.54,Cilic M.,15.86,Chardy J.,77,9,700,3420,3.5,1.28,14,13,6-4 2-6 6-3,0
Sony Ericsson Open,3/24/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Fognini F.,15.45,Sousa J.,15.65,Fognini F.,40,35,1025,1115,1.72,2.0,15,15,7-6 2-6 6-3,0
Sony Ericsson Open,3/24/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Anderson K.,14.38,Nishikori K.,15.91,Nishikori K.,74,4,705,4730,4.5,1.18,7,12,4-6 3-6,1
Sony Ericsson Open,3/24/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Delbonis F.,15.38,Carreno Busta P.,15.6,Delbonis F.,57,19,840,2025,2.75,1.4,14,13,1-6 7-5 6-2,0
Sony Ericsson Open,3/24/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Zverev M.,15.79,Donaldson J.,15.37,Donaldson J.,33,95,1251,598,1.57,2.25,8,12,4-6 4-6,1
Sony Ericsson Open,3/25/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Dimitrov G.,15.97,Pella G.,15.48,Pella G.,13,158,2960,375,1.08,8.0,9,13,3-6 6-7,1
Sony Ericsson Open,3/25/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Pouille L.,15.72,Young D.,14.43,Young D.,15,51,2456,881,1.4,2.75,6,12,2-6 4-6,1
Sony Ericsson Open,3/25/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Goffin D.,15.84,King D.,14.43,Goffin D.,12,121,2975,488,1.08,8.0,13,6,7-5 6-1,0
Sony Ericsson Open,3/25/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Coric B.,15.67,Thiem D.,15.64,Coric B.,62,8,780,3465,4.0,1.25,13,6,6-1 7-5,0
Sony Ericsson Open,3/26/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Bautista Agut R.,15.63,Kukushkin M.,15.38,Bautista Agut R.,18,76,2190,701,1.25,3.75,13,9,6-3 7-6,0
Sony Ericsson Open,3/26/2017,Masters 1000,Outdoor,Hard,2nd Round,3,Kyrgios N.,15.91,Dzumhur D.,15.37,Kyrgios N.,16,66,2425,769,1.16,5.0,12,7,6-4 6-3,0
Sony Ericsson Open,3/26/2017,Masters 1000,Outdoor,Hard,3rd Round,3,Young D.,14.43,Paire B.,15.42,Young D.,51,39,881,1040,1.9,1.9,13,10,7-6 6-4,0
Sony Ericsson Open,3/26/2017,Masters 1000,Outdoor,Hard,3rd Round,3,Chardy J.,15.54,Fognini F.,15.45,Fognini F.,77,40,700,1025,2.0,1.8,14,15,6-3 4-6 4-6,1
Sony Ericsson Open,3/27/2017,Masters 1000,Outdoor,Hard,3rd Round,3,Vesely J.,15.4,Sock J.,15.73,Sock J.,54,17,863,2375,4.5,1.2,9,13,3-6 6-7,1
Sony Ericsson Open,3/27/2017,Masters 1000,Outdoor,Hard,3rd Round,3,Querrey S.,15.68,Bautista Agut R.,15.63,Bautista Agut R.,27,18,1445,2190,2.3,1.61,11,15,6-3 2-6 3-6,1
Sony Ericsson Open,3/27/2017,Masters 1000,Outdoor,Hard,3rd Round,3,Mannarino A.,15.42,Coric B.,15.64,Mannarino A.,65,62,771,780,2.5,1.53,15,16,6-4 2-6 7-6,0
Sony Ericsson Open,3/28/2017,Masters 1000,Outdoor,Hard,3rd Round,3,Goffin D.,15.82,Schwartzman D.,15.83,Goffin D.,12,42,2975,955,1.28,3.75,17,14,4-6 6-3 7-5,0
Sony Ericsson Open,3/28/2017,Masters 1000,Outdoor,Hard,4th Round,3,Fognini F.,15.42,Young D.,14.43,Fognini F.,40,51,1025,881,2.0,1.8,12,4,6-0 6-4,0
Sony Ericsson Open,3/28/2017,Masters 1000,Outdoor,Hard,4th Round,3,Delbonis F.,15.37,Nishikori K.,15.92,Nishikori K.,57,4,840,4730,7.0,1.1,12,16,3-6 6-4 3-6,1
Sony Ericsson Open,3/28/2017,Masters 1000,Outdoor,Hard,4th Round,3,Sock J.,15.73,Donaldson J.,15.39,Sock J.,17,95,2375,598,1.25,4.0,12,3,6-2 6-1,0
Sony Ericsson Open,3/29/2017,Masters 1000,Outdoor,Hard,4th Round,3,Goffin D.,15.82,Kyrgios N.,15.93,Kyrgios N.,12,16,2975,2425,3.0,1.4,9,13,6-7 3-6,1
Sony Ericsson Open,3/29/2017,Masters 1000,Outdoor,Hard,Quarterfinals,3,Fognini F.,15.42,Nishikori K.,15.92,Fognini F.,40,4,1025,4730,3.25,1.36,12,6,6-4 6-2,0
Sony Ericsson Open,3/31/2017,Masters 1000,Outdoor,Hard,Quarterfinals,3,Zverev A.,15.76,Kyrgios N.,15.93,Kyrgios N.,20,16,1850,2425,2.75,1.44,14,18,4-6 7-6 3-6,1
U.S. Men's Clay Court Championships,4/12/2017,ATP250,Outdoor,Clay,1st Round,3,Donaldson J.,15.36,Gonzalez M.,10.06,Gonzalez M.,73,163,686,361,1.83,1.83,14,17,4-6 7-5 3-6,1
U.S. Men's Clay Court Championships,4/12/2017,ATP250,Outdoor,Clay,1st Round,3,Monteiro T.,2.38,Young D.,14.43,Monteiro T.,81,42,657,956,2.1,1.66,12,7,6-3 6-4,0
U.S. Men's Clay Court Championships,4/12/2017,ATP250,Outdoor,Clay,1st Round,3,Pavlasek A.,14.23,Mayer L.,15.53,Mayer L.,98,144,571,409,3.0,1.36,10,17,7-5 2-6 1-6,1
U.S. Men's Clay Court Championships,4/12/2017,ATP250,Outdoor,Clay,1st Round,3,Tiafoe F.,15.37,Bellucci T.,15.38,Bellucci T.,89,65,617,736,2.25,1.57,13,14,5-7 6-1 2-6,1
U.S. Men's Clay Court Championships,4/12/2017,ATP250,Outdoor,Clay,1st Round,3,Escobedo E.,15.35,Sandgren T.,15.32,Escobedo E.,91,157,597,377,1.72,2.0,12,6,6-3 6-3,0
U.S. Men's Clay Court Championships,4/13/2017,ATP250,Outdoor,Clay,2nd Round,3,Escobedo E.,15.35,Monteiro T.,2.38,Escobedo E.,91,81,597,657,2.37,1.53,16,14,4-6 6-4 6-4,0
U.S. Men's Clay Court Championships,4/13/2017,ATP250,Outdoor,Clay,2nd Round,3,Gonzalez M.,10.06,Bellucci T.,15.38,Bellucci T.,163,65,361,736,2.62,1.44,14,15,6-2 6-7 2-6,1
U.S. Men's Clay Court Championships,4/14/2017,ATP250,Outdoor,Clay,Quarterfinals,3,Querrey S.,15.72,Bellucci T.,15.38,Bellucci T.,25,65,1455,736,1.44,2.75,13,15,4-6 6-3 3-6,1
U.S. Men's Clay Court Championships,4/15/2017,ATP250,Outdoor,Clay,Semifinals,3,Bellucci T.,15.38,Escobedo E.,15.35,Bellucci T.,65,91,736,597,1.5,2.62,17,13,5-7 6-4 6-2,0
U.S. Men's Clay Court Championships,4/15/2017,ATP250,Outdoor,Clay,Semifinals,3,Sock J.,15.76,Johnson S.,15.56,Johnson S.,16,29,2405,1380,1.44,2.75,13,16,6-4 4-6 3-6,1
U.S. Men's Clay Court Championships,4/16/2017,ATP250,Outdoor,Clay,The Final,3,Johnson S.,15.56,Bellucci T.,15.38,Johnson S.,29,65,1380,736,1.57,2.37,17,16,6-4 4-6 7-6,0
Grand Prix Hassan II,4/10/2017,ATP250,Outdoor,Clay,1st Round,3,Djere L.,15.11,Klizan M.,14.76,Djere L.,184,60,295,800,3.4,1.3,13,9,7-6 6-3,0
Grand Prix Hassan II,4/11/2017,ATP250,Outdoor,Clay,1st Round,3,Schwartzman D.,15.78,Coric B.,15.64,Coric B.,41,79,990,675,1.53,2.37,5,12,3-6 2-6,1
Grand Prix Hassan II,4/11/2017,ATP250,Outdoor,Clay,1st Round,3,Ahouda A.,12.65,Granollers M.,14.62,Ahouda A.,946,45,13,942,17.0,1.02,12,8,6-4 6-4,0
Grand Prix Hassan II,4/12/2017,ATP250,Outdoor,Clay,2nd Round,3,Coric B.,15.64,El Amrani R.,14.93,Coric B.,79,667,675,38,1.1,7.0,16,14,6-2 3-6 7-6,0
Grand Prix Hassan II,4/13/2017,ATP250,Outdoor,Clay,2nd Round,3,Paire B.,15.46,Albot R.,15.32,Paire B.,39,83,1040,655,1.53,2.37,12,4,6-2 6-2,0
Grand Prix Hassan II,4/13/2017,ATP250,Outdoor,Clay,2nd Round,3,Zverev M.,15.77,Vesely J.,15.41,Vesely J.,33,53,1249,828,2.5,1.5,8,12,4-6 4-6,1
Grand Prix Hassan II,4/15/2017,ATP250,Outdoor,Clay,Semifinals,3,Coric B.,15.64,Vesely J.,15.41,Coric B.,79,53,675,828,1.57,2.37,12,8,6-4 6-4,0
Monte Carlo Masters,4/16/2017,Masters 1000,Outdoor,Clay,1st Round,3,Sousa J.,15.64,Mayer F.,15.39,Sousa J.,36,48,1080,923,1.25,3.75,12,5,6-3 6-2,0
Monte Carlo Masters,4/17/2017,Masters 1000,Outdoor,Clay,1st Round,3,Bautista Agut R.,15.63,Basilashvili N.,15.37,Bautista Agut R.,18,59,2145,809,1.14,5.5,14,14,1-6 6-3 7-5,0
Monte Carlo Masters,4/17/2017,Masters 1000,Outdoor,Clay,1st Round,3,Tomic B.,15.43,Schwartzman D.,15.76,Schwartzman D.,43,41,950,982,5.0,1.16,7,13,1-6 6-7,1
Monte Carlo Masters,4/17/2017,Masters 1000,Outdoor,Clay,1st Round,3,Edmund K.,15.76,Evans D.,15.68,Edmund K.,45,44,933,944,1.18,4.5,13,6,7-5 6-1,0
Monte Carlo Masters,4/17/2017,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,15.58,Carreno Busta P.,15.62,Carreno Busta P.,29,19,1385,2025,2.2,1.61,16,19,6-7 7-6 3-6,1
Monte Carlo Masters,4/18/2017,Masters 1000,Outdoor,Clay,1st Round,3,Harrison R.,14.29,Pouille L.,15.81,Pouille L.,50,17,912,2306,4.0,1.22,6,12,2-6 4-6,1
Monte Carlo Masters,4/18/2017,Masters 1000,Outdoor,Clay,1st Round,3,Dzumhur D.,15.43,Haase R.,15.06,Haase R.,92,46,599,933,-1.0,-1.0,5,12,3-6 2-6,1
Monte Carlo Masters,4/18/2017,Masters 1000,Outdoor,Clay,1st Round,3,Vesely J.,15.4,Zverev M.,15.76,Vesely J.,54,35,828,1159,1.36,3.0,13,9,7-6 6-3,0
Monte Carlo Masters,4/18/2017,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,15.64,Chardy J.,15.66,Chardy J.,49,71,915,710,2.0,1.72,15,16,6-7 6-3 3-6,1
Monte Carlo Masters,4/18/2017,Masters 1000,Outdoor,Clay,2nd Round,3,Simon G.,7.35,Djokovic N.,14.24,Djokovic N.,32,2,1255,7905,8.0,1.08,14,16,3-6 6-3 5-7,1
Monte Carlo Masters,4/19/2017,Masters 1000,Outdoor,Clay,2nd Round,3,Carreno Busta P.,15.62,Khachanov K.,15.64,Carreno Busta P.,19,52,2025,877,1.36,3.0,12,8,6-4 6-4,0
Monte Carlo Masters,4/19/2017,Masters 1000,Outdoor,Clay,2nd Round,3,Haase R.,15.06,Thiem D.,15.77,Thiem D.,46,9,933,3385,4.33,1.2,5,12,3-6 2-6,1
Monte Carlo Masters,4/19/2017,Masters 1000,Outdoor,Clay,2nd Round,3,Muller G.,14.39,Murray A.,16.28,Murray A.,28,1,1425,11600,7.0,1.1,10,14,5-7 5-7,1
Monte Carlo Masters,4/19/2017,Masters 1000,Outdoor,Clay,2nd Round,3,Cilic M.,15.77,Chardy J.,15.66,Cilic M.,8,71,3385,710,1.72,2.0,12,3,6-3 6-0,0
Monte Carlo Masters,4/19/2017,Masters 1000,Outdoor,Clay,2nd Round,3,Bautista Agut R.,15.63,Schwartzman D.,15.76,Schwartzman D.,18,41,2145,982,1.5,2.5,9,13,3-6 6-7,1
Monte Carlo Masters,4/20/2017,Masters 1000,Outdoor,Clay,3rd Round,3,Goffin D.,15.79,Thiem D.,15.77,Goffin D.,13,9,2705,3385,2.37,1.57,17,15,7-6 4-6 6-3,0
Monte Carlo Masters,4/20/2017,Masters 1000,Outdoor,Clay,3rd Round,3,Carreno Busta P.,15.62,Djokovic N.,14.24,Djokovic N.,19,2,2025,7905,6.0,1.12,12,16,2-6 6-4 4-6,1
Monte Carlo Masters,4/21/2017,Masters 1000,Outdoor,Clay,Quarterfinals,3,Goffin D.,15.79,Djokovic N.,14.24,Goffin D.,13,2,2705,7905,3.4,1.33,16,13,6-2 3-6 7-5,0
Open Banco Sabadell ,4/24/2017,ATP500,Outdoor,Clay,1st Round,3,Chardy J.,15.66,Edmund K.,15.76,Edmund K.,70,42,710,958,2.37,1.53,7,12,3-6 4-6,1
Open Banco Sabadell ,4/24/2017,ATP500,Outdoor,Clay,1st Round,3,Monteiro T.,2.38,Evans D.,15.68,Evans D.,80,43,644,954,1.4,2.75,15,19,7-6 2-6 6-7,1
Open Banco Sabadell ,4/24/2017,ATP500,Outdoor,Clay,1st Round,3,Ruud C.,15.15,Albot R.,15.3,Ruud C.,126,81,448,643,1.4,2.75,12,4,6-2 6-2,0
Open Banco Sabadell ,4/25/2017,ATP500,Outdoor,Clay,1st Round,3,Basilashvili N.,15.37,Daniel T.,14.9,Basilashvili N.,61,114,811,509,1.83,1.83,12,4,6-3 6-1,0
Open Banco Sabadell ,4/25/2017,ATP500,Outdoor,Clay,1st Round,3,Khachanov K.,15.64,Bellucci T.,15.37,Khachanov K.,56,54,867,876,1.72,2.0,12,7,6-3 6-4,0
Open Banco Sabadell ,4/25/2017,ATP500,Outdoor,Clay,2nd Round,3,Edmund K.,15.76,Thiem D.,15.77,Thiem D.,42,9,958,3385,3.4,1.3,5,12,1-6 4-6,1
Open Banco Sabadell ,4/25/2017,ATP500,Outdoor,Clay,2nd Round,3,Zverev M.,15.76,Evans D.,15.68,Evans D.,35,43,1159,954,2.0,1.72,8,12,4-6 4-6,1
Open Banco Sabadell ,4/25/2017,ATP500,Outdoor,Clay,2nd Round,3,Granollers M.,14.62,Paire B.,15.46,Paire B.,65,49,736,915,2.5,1.5,9,13,3-6 6-7,1
Open Banco Sabadell ,4/26/2017,ATP500,Outdoor,Clay,2nd Round,3,Goffin D.,15.79,Basilashvili N.,15.37,Goffin D.,10,61,2975,811,1.12,6.0,13,5,7-5 6-0,0
Open Banco Sabadell ,4/27/2017,ATP500,Outdoor,Clay,3rd Round,3,Thiem D.,15.77,Evans D.,15.68,Thiem D.,9,43,3385,954,1.1,7.0,13,8,7-6 6-2,0
Open Banco Sabadell ,4/27/2017,ATP500,Outdoor,Clay,3rd Round,3,Sugita Y.,15.48,Carreno Busta P.,15.62,Sugita Y.,91,20,603,2025,7.0,1.1,12,6,6-3 6-3,0
Open Banco Sabadell ,4/27/2017,ATP500,Outdoor,Clay,3rd Round,3,Goffin D.,15.79,Khachanov K.,15.64,Khachanov K.,10,56,2975,867,1.25,4.0,14,18,7-6 3-6 4-6,1
Open Banco Sabadell ,4/27/2017,ATP500,Outdoor,Clay,3rd Round,3,Chung H.,14.61,Zverev A.,15.96,Chung H.,94,21,579,2005,4.0,1.25,12,5,6-1 6-4,0
Open Banco Sabadell ,4/28/2017,ATP500,Outdoor,Clay,Quarterfinals,3,Thiem D.,15.77,Sugita Y.,15.48,Thiem D.,9,91,3385,603,1.1,7.0,12,3,6-1 6-2,0
Open Banco Sabadell ,4/29/2017,ATP500,Outdoor,Clay,Semifinals,3,Thiem D.,15.77,Murray A.,16.28,Thiem D.,9,1,3385,11690,2.1,1.72,15,12,6-2 3-6 6-4,0
Gazprom Hungarian Open,4/24/2017,ATP250,Outdoor,Clay,1st Round,3,Marterer M.,15.45,Klizan M.,14.76,Klizan M.,132,59,434,835,2.5,1.5,5,12,2-6 3-6,1
Gazprom Hungarian Open,4/25/2017,ATP250,Outdoor,Clay,1st Round,3,Copil M.,14.8,Bedene A.,15.43,Bedene A.,110,68,520,718,4.5,1.16,7,13,5-7 2-6,1
Gazprom Hungarian Open,4/25/2017,ATP250,Outdoor,Clay,1st Round,3,Fratangelo B.,15.32,Simon G.,7.35,Fratangelo B.,150,30,395,1280,3.4,1.3,12,5,6-4 6-1,0
Gazprom Hungarian Open,4/25/2017,ATP250,Outdoor,Clay,1st Round,3,Coric B.,15.64,Vesely J.,15.4,Vesely J.,48,58,915,853,1.44,2.62,10,13,6-7 4-6,1
Gazprom Hungarian Open,4/25/2017,ATP250,Outdoor,Clay,1st Round,3,Haase R.,15.06,Schwartzman D.,15.76,Haase R.,46,34,933,1162,2.75,1.4,12,4,6-1 6-3,0
Gazprom Hungarian Open,4/26/2017,ATP250,Outdoor,Clay,2nd Round,3,Bedene A.,15.43,Haase R.,15.06,Bedene A.,68,46,718,933,1.66,2.1,12,8,6-4 6-4,0
Gazprom Hungarian Open,4/27/2017,ATP250,Outdoor,Clay,2nd Round,3,Vesely J.,15.4,Pouille L.,15.81,Pouille L.,58,14,853,2516,2.75,1.4,15,17,3-6 6-4 6-7,1
Gazprom Hungarian Open,4/27/2017,ATP250,Outdoor,Clay,2nd Round,3,Klizan M.,14.76,Fratangelo B.,15.32,Klizan M.,59,150,835,395,1.4,2.75,12,5,6-3 6-2,0
Gazprom Hungarian Open,4/28/2017,ATP250,Outdoor,Clay,Quarterfinals,3,Pouille L.,15.81,Klizan M.,14.76,Pouille L.,14,59,2516,835,1.57,2.37,12,7,6-4 6-3,0
Gazprom Hungarian Open,4/29/2017,ATP250,Outdoor,Clay,Semifinals,3,Djere L.,15.17,Bedene A.,15.43,Bedene A.,184,68,294,718,4.0,1.25,6,12,2-6 4-6,1
Gazprom Hungarian Open,4/30/2017,ATP250,Outdoor,Clay,The Final,3,Bedene A.,15.43,Pouille L.,15.81,Pouille L.,68,14,718,2516,2.37,1.57,4,12,3-6 1-6,1
Millenium Estoril Open,5/1/2017,ATP250,Outdoor,Clay,1st Round,3,Anderson K.,14.38,Caruso S.,14.98,Anderson K.,66,206,775,260,1.28,3.5,12,5,6-2 6-3,0
Millenium Estoril Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Daniel T.,14.9,Olivo R.,15.0,Daniel T.,113,89,499,619,1.44,2.62,18,17,7-6 4-6 7-5,0
Millenium Estoril Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Domingues J.,15.13,Edmund K.,15.76,Domingues J.,242,41,212,958,6.0,1.12,16,16,6-4 3-6 7-6,0
Millenium Estoril Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Sousa J.,15.62,Fratangelo B.,15.32,Fratangelo B.,36,133,1080,427,1.36,3.0,7,12,3-6 4-6,1
Millenium Estoril Open,5/3/2017,ATP250,Outdoor,Clay,2nd Round,3,Anderson K.,14.38,Domingues J.,15.13,Anderson K.,66,242,775,212,1.18,4.5,18,15,5-7 6-3 7-5,0
Millenium Estoril Open,5/4/2017,ATP250,Outdoor,Clay,2nd Round,3,Sousa P.,15.01,Muller G.,14.39,Muller G.,172,28,318,1425,2.5,1.5,5,12,3-6 2-6,1
Millenium Estoril Open,5/4/2017,ATP250,Outdoor,Clay,2nd Round,3,Fratangelo B.,15.32,Daniel T.,14.9,Daniel T.,133,113,427,499,1.57,2.25,8,12,4-6 4-6,1
Millenium Estoril Open,5/5/2017,ATP250,Outdoor,Clay,Quarterfinals,3,Daniel T.,14.9,Muller G.,14.39,Muller G.,113,28,499,1425,2.3,1.61,12,17,7-5 2-6 3-6,1
Millenium Estoril Open,5/6/2017,ATP250,Outdoor,Clay,Semifinals,3,Anderson K.,14.38,Muller G.,14.39,Muller G.,66,28,775,1425,1.72,2.1,9,13,5-7 4-6,1
Millenium Estoril Open,5/7/2017,ATP250,Outdoor,Clay,The Final,3,Carreno Busta P.,15.63,Muller G.,14.39,Carreno Busta P.,21,28,1965,1425,1.36,3.25,13,8,6-2 7-6,0
Istanbul Open,5/1/2017,ATP250,Outdoor,Clay,1st Round,3,Granollers M.,14.62,Vesely J.,15.37,Vesely J.,70,59,711,828,2.37,1.53,15,15,5-7 6-2 4-6,1
Istanbul Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Tsitsipas S.,14.99,Dzumhur D.,15.44,Dzumhur D.,207,92,259,580,2.75,1.4,9,13,4-6 5-7,1
Istanbul Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Fucsovics M.,15.37,Bedene A.,15.43,Bedene A.,149,58,387,863,3.25,1.33,16,17,6-7 6-4 4-6,1
Istanbul Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Khachanov K.,15.65,Basilashvili N.,15.38,Khachanov K.,42,61,937,821,1.53,2.37,18,11,6-3 6-7 6-1,0
Istanbul Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Lajovic D.,15.41,Coric B.,15.64,Lajovic D.,84,54,635,870,3.0,1.36,19,15,6-3 6-7 7-5,0
Istanbul Open,5/3/2017,ATP250,Outdoor,Clay,2nd Round,3,Cilic M.,15.77,Dzumhur D.,15.44,Cilic M.,8,92,3565,580,1.28,3.5,12,5,6-3 6-2,0
Istanbul Open,5/3/2017,ATP250,Outdoor,Clay,2nd Round,3,Raonic M.,16.05,Bedene A.,15.43,Raonic M.,6,58,4165,863,1.36,3.0,19,16,6-7 6-3 7-6,0
Istanbul Open,5/4/2017,ATP250,Outdoor,Clay,2nd Round,3,Thompson J.,15.16,Schwartzman D.,15.8,Schwartzman D.,91,46,588,912,4.33,1.2,4,12,1-6 3-6,1
Istanbul Open,5/5/2017,ATP250,Outdoor,Clay,Quarterfinals,3,Lajovic D.,15.41,Schwartzman D.,15.8,Schwartzman D.,84,46,635,912,3.75,1.28,7,13,5-7 2-6,1
Istanbul Open,5/5/2017,ATP250,Outdoor,Clay,Quarterfinals,3,Tomic B.,15.43,Raonic M.,16.05,Raonic M.,40,6,980,4165,5.5,1.14,12,14,6-7 6-7,1
Istanbul Open,5/6/2017,ATP250,Outdoor,Clay,Semifinals,3,Cilic M.,15.77,Schwartzman D.,15.8,Cilic M.,8,46,3565,912,1.61,2.3,13,7,6-1 7-6,0
Istanbul Open,5/7/2017,ATP250,Outdoor,Clay,The Final,3,Cilic M.,15.77,Raonic M.,16.05,Cilic M.,8,6,3565,4165,2.0,1.8,13,9,7-6 6-3,0
BMW Open,5/1/2017,ATP250,Outdoor,Clay,1st Round,3,Bellucci T.,15.38,Kukushkin M.,15.41,Bellucci T.,57,77,866,661,1.4,2.75,12,5,6-3 6-2,0
BMW Open,5/1/2017,ATP250,Outdoor,Clay,1st Round,3,Hanfmann Y.,15.13,Melzer G.,13.88,Hanfmann Y.,273,115,180,495,2.25,1.57,17,12,6-4 5-7 6-1,0
BMW Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Kovalik J.,15.15,Chardy J.,15.66,Chardy J.,162,71,353,710,2.62,1.44,6,12,2-6 4-6,1
BMW Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Chung H.,14.61,Marterer M.,15.46,Chung H.,78,128,659,446,1.4,2.75,17,15,7-6 4-6 6-3,0
BMW Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Monteiro T.,2.38,Copil M.,14.8,Copil M.,81,109,645,520,1.44,2.62,15,17,6-4 5-7 4-6,1
BMW Open,5/2/2017,ATP250,Outdoor,Clay,1st Round,3,Klizan M.,14.76,Kicker N.,15.2,Klizan M.,53,93,880,575,1.25,3.75,16,13,4-6 6-4 6-3,0
BMW Open,5/3/2017,ATP250,Outdoor,Clay,2nd Round,3,Bellucci T.,15.38,Hanfmann Y.,15.13,Hanfmann Y.,57,273,866,180,1.25,3.75,17,18,6-7 6-4 5-7,1
BMW Open,5/3/2017,ATP250,Outdoor,Clay,2nd Round,3,Bautista Agut R.,15.63,Copil M.,14.8,Bautista Agut R.,18,109,2145,520,1.12,6.0,18,17,4-6 7-6 7-5,0
BMW Open,5/3/2017,ATP250,Outdoor,Clay,2nd Round,3,Zverev A.,15.97,Chardy J.,15.66,Zverev A.,20,71,2005,710,1.3,3.4,12,8,6-4 6-4,0
BMW Open,5/4/2017,ATP250,Outdoor,Clay,2nd Round,3,Pella G.,15.4,Fognini F.,15.59,Pella G.,158,29,359,1270,2.2,1.61,12,5,6-3 6-2,0
BMW Open,5/4/2017,ATP250,Outdoor,Clay,2nd Round,3,Klizan M.,14.76,Zverev M.,15.76,Klizan M.,53,32,880,1159,1.44,2.62,12,3,6-2 6-1,0
BMW Open,5/5/2017,ATP250,Outdoor,Clay,Quarterfinals,3,Hanfmann Y.,15.13,Bautista Agut R.,15.63,Bautista Agut R.,273,18,180,2145,6.5,1.11,6,12,3-6 3-6,1
BMW Open,5/6/2017,ATP250,Outdoor,Clay,Quarterfinals,3,Chung H.,14.61,Klizan M.,14.76,Chung H.,78,53,659,880,1.8,2.0,15,12,6-4 3-6 6-2,0
BMW Open,5/6/2017,ATP250,Outdoor,Clay,Semifinals,3,Bautista Agut R.,15.63,Zverev A.,15.97,Zverev A.,18,20,2145,2005,2.1,1.72,10,14,5-7 5-7,1
BMW Open,5/6/2017,ATP250,Outdoor,Clay,Semifinals,3,Pella G.,15.4,Chung H.,14.61,Pella G.,158,78,359,659,2.37,1.57,17,15,4-6 7-5 6-4,0
BMW Open,5/7/2017,ATP250,Outdoor,Clay,The Final,3,Pella G.,15.4,Zverev A.,15.97,Zverev A.,158,20,359,2005,4.33,1.22,7,12,4-6 3-6,1
Mutua Madrid Open,5/7/2017,Masters 1000,Outdoor,Clay,1st Round,3,Fognini F.,15.59,Sousa J.,15.62,Fognini F.,29,41,1235,945,1.57,2.25,12,8,6-4 6-4,0
Mutua Madrid Open,5/7/2017,Masters 1000,Outdoor,Clay,1st Round,3,Khachanov K.,15.65,Goffin D.,15.8,Goffin D.,42,10,940,3055,3.5,1.28,8,13,2-6 6-7,1
Mutua Madrid Open,5/8/2017,Masters 1000,Outdoor,Clay,1st Round,3,Haase R.,15.06,Evans D.,15.68,Haase R.,45,58,933,834,1.53,2.37,13,7,7-5 6-2,0
